Date,532921.BO,500820.BO,532215.BO,500034.BO,532978.BO,500049.BO,532454.BO,543320.BO,532281.BO,500180.BO,500696.BO,532174.BO,500209.BO,500875.BO,500247.BO,500510.BO,500520.BO,532500.BO,532555.BO,532898.BO,500325.BO,500112.BO,524715.BO,532540.BO,500570.BO,500470.BO,532755.BO,500114.BO,500251.BO,532538.BO
2018-10-29,312.05810546875,,,232.34024047851562,538.4708251953125,,,,,,1361.5225830078125,,522.9038696289062,,,1133.0594482421875,688.2025146484375,,,,483.798583984375,247.33604431152344,,,,21.980138778686523,,,,3325.619140625
2018-10-30,307.5196228027344,,,230.0768585205078,537.3258666992188,,,,,,1395.1695556640625,,535.8587036132812,,,1142.67529296875,685.8096923828125,,,,470.08056640625,252.04188537597656,,,,21.654420852661133,,,,3345.40380859375
2018-10-31,304.8920593261719,,,231.67684936523438,537.9381713867188,,,,,,1417.6007080078125,,557.3823852539062,,,1166.80517578125,702.5130615234375,,,,471.97039794921875,258.823974609375,,,,21.167766571044922,,,,3384.925048828125
2018-11-01,305.0353698730469,,,235.8963165283203,536.3251342773438,,,,,,1411.8616943359375,,541.2192993164062,,,1197.7647705078125,695.0587158203125,,,,469.96942138671875,263.62213134765625,,,,21.330623626708984,,,,3475.3828125
2018-11-02,318.65087890625,,,232.51583862304688,548.1094970703125,,,,,,1431.4014892578125,,537.726806640625,,,1219.6925048828125,721.931640625,,,,477.6844177246094,263.39141845703125,,,,21.98588752746582,,,,3605.700927734375
2018-11-05,314.39898681640625,,,230.23782348632812,553.5112915039062,,,,,,1435.4757080078125,,538.29541015625,,,1214.1656494140625,715.5354614257812,,,,484.0431213378906,272.480224609375,,,,22.156408309936523,,,,3641.400634765625
2018-11-06,311.2459411621094,,,228.09637451171875,556.3938598632812,,,,,,1426.7137451171875,,541.5848388671875,,,1220.456298828125,716.1796875,,,,490.6687316894531,264.36029052734375,,,,22.110427856445312,,,,3618.61669921875
2018-11-07,312.05810546875,,,229.17929077148438,559.4556274414062,,,,,,1437.05322265625,,549.0571899414062,,,1228.005126953125,730.26025390625,,,,493.8258361816406,264.4986572265625,,,,22.24262809753418,,,,3657.411865234375
2018-11-08,312.05810546875,,,229.17929077148438,559.4556274414062,,,,,,1437.05322265625,,549.0571899414062,,,1228.005126953125,730.26025390625,,,,493.8258361816406,264.4986572265625,,,,22.24262809753418,,,,3657.411865234375
2018-11-09,321.85174560546875,,,231.79391479492188,566.415771484375,,,,,,1465.5303955078125,,537.239501953125,,,1228.2298583984375,733.2054443359375,,,,486.17755126953125,261.1307678222656,,,,21.968645095825195,,,,3677.48681640625
